round,agent_id,private_score,private_thought,public_score,public_statement,falsification_gap
0,sarah,0,,0,,0
1,sarah,0,,0,,0
2,sarah,0,,0,,0
3,sarah,0,,0,,0
4,sarah,0,,0,,0
5,sarah,0,,0,,0
6,sarah,0,,0,,0
7,sarah,0,,0,,0
8,sarah,0,,0,,0
9,sarah,0,,0,,0
10,sarah,0,,0,,0
11,sarah,0,,0,,0
12,sarah,0,,0,,0
13,sarah,0,,0,,0
14,sarah,0,,0,,0
0,james,0,,0,,0
1,james,0,,0,,0
2,james,0,,0,,0
3,james,0,,0,,0
4,james,0,,0,,0
5,james,0,,0,,0
6,james,0,,0,,0
7,james,0,,0,,0
8,james,0,,0,,0
9,james,0,,0,,0
10,james,0,,0,,0
11,james,0,,0,,0
12,james,0,,0,,0
13,james,0,,0,,0
14,james,0,,0,,0
0,priya,0,,0,,0
1,priya,0,,0,,0
2,priya,0,,0,,0
3,priya,0,,0,,0
4,priya,0,,0,,0
5,priya,0,,0,,0
6,priya,0,,0,,0
7,priya,0,,0,,0
8,priya,0,,0,,0
9,priya,0,,0,,0
10,priya,0,,0,,0
11,priya,0,,0,,0
12,priya,0,,0,,0
13,priya,0,,0,,0
14,priya,0,,0,,0
0,tom,0,,0,,0
1,tom,0,,0,,0
2,tom,0,,0,,0
3,tom,0,,0,,0
4,tom,0,,0,,0
5,tom,0,,0,,0
6,tom,0,,0,,0
7,tom,0,,0,,0
8,tom,0,,0,,0
9,tom,0,,0,,0
10,tom,0,,0,,0
11,tom,0,,0,,0
12,tom,0,,0,,0
13,tom,0,,0,,0
14,tom,0,,0,,0
0,lin,0,,0,,0
1,lin,0,,0,,0
2,lin,0,,0,,0
3,lin,0,,0,,0
4,lin,0,,0,,0
5,lin,0,,0,,0
6,lin,0,,0,I need to be honest.  I can't stay silent about this anymore.,0
7,lin,0,,0,I need to be honest.  I can't stay silent about this anymore.,0
8,lin,0,,0,I need to be honest.  I can't stay silent about this anymore.,0
9,lin,0,,0,I need to be honest.  I can't stay silent about this anymore.,0
10,lin,0,,0,I need to be honest.  I can't stay silent about this anymore.,0
11,lin,0,,0,I need to be honest.  I can't stay silent about this anymore.,0
12,lin,0,,0,I need to be honest.  I can't stay silent about this anymore.,0
13,lin,0,,0,I need to be honest.  I can't stay silent about this anymore.,0
14,lin,0,,0,I need to be honest.  I can't stay silent about this anymore.,0
